FRUITS_VEGGIES,DAILY_STRESS,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,SLEEP_HOURS,DAILY_SHOUTING,SUFFICIENT_INCOME,TIME_FOR_PASSION,WEEKLY_MEDITATION,WORK_LIFE_BALANCE_SCORE,GENDER_NEW,AGE_GROUP
5,3,10,10,10,2,6,6,10,7,2,2,4,10,727.8,1,2
5,0,10,10,10,2,10,6,8,8,1,2,3,10,754.8,1,3
1,4,4,3,4,2,6,4,3,6,0,2,1,5,624.2,0,2
4,2,4,3,6,1,8,1,7,8,6,2,1,4,676.4,1,2
3,4,1,0,0,1,3,0,2,7,2,1,0,1,573.2,0,1
2,5,1,10,0,2,0,5,1,5,0,2,0,1,581.1,1,3
5,3,2,3,5,1,6,1,3,7,7,2,2,5,624.4,1,2
3,1,5,4,7,1,5,3,6,8,2,2,5,7,667.7,1,1
4,2,3,6,3,2,4,4,6,8,1,2,5,8,667.7,0,1
5,2,10,10,5,1,6,4,6,8,1,2,6,10,754.4,1,1
4,3,9,4,10,1,6,4,6,6,2,2,3,7,706.4,1,2
5,5,4,3,9,1,1,2,8,5,0,2,1,3,645.4,0,3
1,3,3,1,5,2,3,3,1,5,3,2,8,2,598.1,1,2
2,2,8,1,3,1,3,1,7,7,5,2,0,4,625.2,0,1
5,1,10,10,10,1,7,5,3,7,1,2,2,5,728.1,0,1
4,3,2,10,8,1,4,0,2,7,1,2,0,7,668.4,1,3
2,3,3,2,8,1,8,3,6,8,10,2,1,8,672.8,1,2
5,4,10,10,10,2,7,5,8,6,3,2,6,3,710.2,1,3
1,2,2,0,6,1,3,2,3,7,0,2,4,10,629.5,0,0
2,3,10,7,10,1,5,10,8,6,3,2,2,4,693.2,1,2
4,4,5,10,10,2,3,1,6,7,10,2,2,5,638.6,0,1
4,3,10,7,10,2,6,6,7,8,2,2,4,10,729.1,0,2
2,3,3,1,3,1,2,8,4,6,4,1,1,2,607.4,0,3
4,4,5,8,10,1,8,2,9,7,1,2,1,2,685.1,0,1
2,5,5,2,10,1,5,6,5,8,1,2,3,10,655.6,1,1
2,1,2,10,2,2,9,2,5,8,2,2,5,10,664.1,1,2
2,2,8,6,3,1,4,1,3,8,1,2,1,5,672.2,1,1
1,2,6,8,7,2,7,2,2,7,1,2,5,7,665.0,0,3
2,2,10,10,7,2,4,4,4,6,1,2,5,7,687.3,1,2
5,1,3,0,5,1,9,5,4,8,5,2,3,3,646.9,1,3
4,4,6,10,2,1,8,1,8,8,5,2,1,5,681.7,0,3
4,1,8,10,8,1,10,2,10,7,1,2,5,7,741.4,0,3
3,1,4,10,10,2,9,6,10,8,0,2,7,5,722.9,1,1
3,4,6,0,4,1,2,2,8,9,10,2,0,9,620.7,1,0
3,4,4,0,3,1,3,0,8,8,10,2,0,5,589.9,1,0
5,1,5,3,10,1,10,3,5,7,2,2,2,10,720.0,0,1
3,3,1,3,1,2,1,0,5,8,7,2,1,3,575.7,1,1
5,1,10,6,10,1,3,6,5,6,0,2,0,7,684.1,1,3
5,2,10,10,10,1,7,10,5,7,1,2,10,10,769.3,1,2
2,3,3,3,6,1,1,2,3,6,2,2,1,3,620.8,1,2
1,5,4,2,10,2,3,5,1,4,2,1,8,3,601.3,1,1
5,2,10,10,10,2,10,10,8,5,1,2,10,10,771.2,1,3
4,2,4,10,5,2,7,1,8,7,4,2,1,10,671.3,1,3
4,5,8,2,7,1,5,1,2,7,0,2,3,10,649.7,0,1
1,4,5,6,3,2,3,1,5,5,4,2,1,3,600.6,0,1
4,2,3,10,10,1,10,0,8,7,7,2,2,10,700.2,1,2
4,2,4,0,4,1,10,0,10,6,1,2,0,7,646.0,1,2
0,1,5,3,7,2,5,7,3,7,5,2,6,6,636.3,1,2
2,3,8,6,10,1,7,1,2,6,2,2,0,10,681.8,1,1
3,1,9,9,10,2,5,9,5,5,1,2,9,5,699.2,0,2
4,4,5,5,7,2,6,1,2,6,2,1,3,3,642.7,1,3
3,3,4,2,10,1,3,2,7,5,0,1,2,7,665.6,1,1
5,0,6,5,6,2,5,1,5,6,1,2,10,7,684.1,0,3
2,3,10,4,6,2,1,2,6,6,5,2,2,8,641.8,0,2
1,4,1,10,10,2,5,4,1,8,1,2,5,1,627.6,1,3
3,5,2,10,10,1,7,3,5,5,4,1,1,10,673.7,0,2
1,4,4,10,6,2,8,1,3,7,1,2,3,5,682.2,0,3
1,3,3,1,5,2,5,0,1,6,4,2,0,1,579.6,1,2
5,2,5,5,2,2,0,3,3,7,0,2,4,10,656.7,1,3
5,2,2,1,2,1,8,4,5,8,2,1,4,10,655.6,1,0
5,2,6,5,6,1,6,8,8,9,10,2,6,10,709.1,0,0
5,5,3,1,1,2,1,1,5,9,8,1,0,2,553.8,1,1
3,4,4,1,7,2,3,3,7,8,4,2,0,10,630.5,1,1
2,1,8,10,6,1,8,7,6,8,3,2,4,2,710.2,1,0
3,1,10,10,7,1,8,5,8,5,1,2,4,10,754.2,1,2
3,3,6,4,10,2,4,3,6,6,1,1,1,7,657.1,1,2
2,5,4,3,10,1,9,3,10,6,9,1,2,4,610.3,1,1
1,3,0,0,2,2,1,0,1,7,7,2,0,10,556.0,0,1
4,5,1,3,10,2,0,1,5,6,10,1,0,7,554.9,0,1
3,1,2,10,5,2,7,4,2,6,0,2,4,10,683.5,0,2
5,2,3,6,6,1,10,2,10,8,7,2,5,10,721.2,1,1
2,3,6,5,10,2,9,5,4,7,1,2,4,3,668.8,0,1
2,2,5,2,10,2,7,3,5,7,5,1,5,10,638.4,0,2
5,5,2,2,0,2,5,1,2,6,7,1,0,2,559.4,1,1
2,4,3,0,10,1,6,3,7,8,2,2,2,7,679.8,0,2
2,1,2,3,1,2,4,2,5,5,0,2,5,4,632.9,0,1
5,3,10,6,10,1,8,2,6,8,1,2,10,6,722.1,1,2
5,2,2,10,6,2,3,3,1,7,0,2,2,10,683.5,1,3
4,3,5,10,7,1,9,4,7,5,3,2,1,3,691.1,1,1
3,0,10,2,3,1,8,2,9,7,1,2,7,5,702.1,0,2
4,3,10,10,10,1,10,4,7,7,3,2,1,10,764.6,1,3
4,2,5,2,4,1,8,2,8,7,0,2,1,10,701.9,0,3
5,5,5,5,5,2,5,5,5,5,5,2,5,5,656.7,0,2
3,3,10,10,10,2,8,5,2,5,5,2,4,6,703.7,1,3
2,3,6,3,10,2,9,1,2,7,1,2,1,7,648.0,1,1
5,1,5,10,3,1,3,1,7,7,0,2,1,4,683.0,1,3
5,3,10,6,10,1,8,2,6,8,1,2,10,6,722.1,1,2
1,1,5,1,5,1,5,1,3,8,0,2,1,6,643.3,0,1
3,4,10,5,4,2,9,2,2,9,0,1,2,5,643.3,0,2
1,2,7,8,8,2,9,8,3,7,1,2,1,7,682.2,1,2
4,3,5,2,2,1,5,1,2,7,10,2,1,5,646.3,1,2
3,3,6,4,3,1,4,2,5,5,2,2,1,2,626.1,0,2
1,2,8,3,3,2,4,1,2,9,1,2,1,7,622.9,1,1
5,4,5,8,5,2,5,1,4,7,5,1,3,10,633.1,1,2
1,3,5,6,3,2,6,7,4,8,7,1,2,3,609.5,0,2
1,4,10,10,10,2,0,0,10,6,4,2,0,0,625.6,1,2
4,5,2,10,10,2,4,2,10,8,1,2,3,3,656.6,1,2
2,4,4,10,10,2,8,2,4,8,4,2,1,3,663.9,0,2
5,2,7,10,3,1,2,2,9,9,1,1,1,7,704.2,1,2
3,3,2,10,4,1,3,2,6,8,4,2,2,6,666.0,0,2
1,2,5,2,10,1,8,3,8,7,4,2,4,3,642.4,0,3
3,1,7,6,10,2,6,6,8,7,4,2,7,7,686.6,1,2
3,1,2,2,6,1,7,0,6,9,0,2,0,6,659.4,0,3
5,3,10,6,10,1,8,2,6,8,1,2,10,6,722.1,1,2
3,1,1,1,1,1,9,1,5,7,0,2,8,5,621.4,0,3
3,3,7,10,10,1,5,7,9,7,7,2,7,10,731.0,1,2
1,3,10,0,10,1,6,1,10,8,2,1,1,10,663.4,0,1
2,3,8,5,4,1,7,5,4,7,2,1,8,4,667.1,1,0
2,5,3,5,2,2,5,4,4,8,1,1,1,3,585.7,1,2
3,2,2,2,3,1,4,1,5,8,3,1,2,1,626.7,1,2
2,5,1,2,5,2,4,2,4,6,3,1,1,3,597.2,1,1
3,2,1,3,5,1,10,8,4,8,3,2,3,9,675.8,1,1
5,1,5,6,3,1,10,6,10,8,0,2,5,3,729.7,1,3
5,3,10,4,2,1,7,4,6,8,1,2,2,7,703.4,1,2
3,4,6,8,3,1,5,2,8,6,6,2,4,10,655.8,1,1
2,2,5,2,2,1,3,3,5,8,2,1,1,4,625.0,0,1
0,1,6,0,5,2,2,0,3,7,1,2,1,10,626.1,0,1
2,4,4,3,6,1,6,3,5,7,0,1,5,4,653.7,1,1
5,0,1,1,10,1,10,5,5,10,0,2,10,10,724.0,0,1
2,2,5,4,5,1,3,4,6,7,4,2,9,5,670.9,0,1
5,0,10,10,10,2,8,5,6,6,1,2,1,5,699.6,1,2
5,1,2,1,3,2,9,3,6,7,2,2,0,4,635.2,1,1
2,4,10,5,4,1,3,1,4,6,10,1,7,5,655.0,1,2
5,3,6,2,3,1,8,1,5,7,1,1,1,10,657.1,0,1
2,3,4,2,3,2,5,2,5,9,2,1,3,7,611.6,0,1
2,4,8,5,10,2,6,1,2,8,1,2,1,7,672.0,0,2
2,2,3,3,2,2,2,1,1,5,4,1,2,2,584.5,0,2
4,4,3,5,6,1,6,1,10,8,4,1,1,10,685.5,1,3
4,4,2,0,4,2,2,1,2,6,10,1,0,3,550.9,0,2
1,2,2,6,1,2,2,1,2,6,3,2,2,6,603.6,0,2
5,1,5,5,5,1,6,0,8,7,0,2,2,5,686.6,1,2
3,2,10,8,10,2,6,1,7,6,5,2,3,5,696.4,1,2
5,2,4,4,7,1,5,2,10,7,5,2,3,7,670.0,0,1
4,3,7,4,4,2,8,1,6,7,7,2,0,7,618.2,1,3
5,2,4,4,7,1,5,2,10,7,5,2,3,7,670.0,0,1
3,2,10,8,10,2,3,3,5,7,0,2,3,3,684.3,1,3
3,2,3,3,3,1,6,1,2,8,2,2,3,6,665.2,1,1
4,1,5,4,5,1,7,1,8,9,4,2,5,10,700.6,0,1
4,3,4,10,6,2,4,5,3,7,5,2,10,7,656.7,1,3
4,3,8,8,8,1,7,8,10,7,4,2,8,10,741.4,1,0
2,2,4,1,4,2,5,7,2,7,2,1,8,9,627.6,0,2
3,2,8,5,6,1,6,5,1,5,5,1,0,3,611.7,0,2
2,3,3,0,5,1,7,3,8,6,0,2,4,7,645.6,0,1
4,1,10,6,3,2,8,5,4,7,2,2,4,7,704.5,1,1
4,4,3,3,10,1,6,1,6,7,1,2,1,4,684.5,1,1
