Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Daily meals frequency,Physical exercise,Carbs,Proteins,Fats,Calories,meal_name,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,is_healthy,Name of Exercise,Sets,Reps,Benefit,Burns Calories (per 30 min),Target Muscle Group,Equipment Needed,Difficulty Level,Body Part,Type of Muscle,Workout
24.03,Female,88.29,1.79,177.55,153.6,65.23,1.76,1831.81,Cardio,26.76935405,3.48,4.01,3.01,27.56,2.99,-0.01,174.44,69.19,46.48,2410,Let Rice,Lunch,Keto,0.81,299.22,187.88,124.74,Boiled,45.62,15.41,2.76,0,Lat Pulldowns,3.99,23.85,Builds chest strength,350.66,"Core, Shoulders, Hips","Bench, Barbell",Intermediate,Back,Grip Strength,Leg raises
50.53,Male,57.01,1.91,184.12,131.58,68.07,1.09,1177.2,Strength,22.39259644,2.72,3.99,2,15.63,2.01,0,177.97,71.05,47.3,1510,Foot Sandwich,Lunch,Keto,7.67,1250.31,138.48,220.52,Steamed,46.48,16.29,1.82,-0.01,Prone Cobras,4.01,14.99,Strengthens lower body,360.04,Triceps,Kettlebell,Beginner,Forearms,Wrist Flexors,Barbell rows
54.03,Female,87.22,1.76,188.72,157.91,68,1.48,1067.38,Yoga,28.41849946,3.39,3,2.02,28.16,3,0,296.87,118.4,79.38,2269,Husband Rice,Lunch,Keto,15.56,2425.23,235.02,353.93,Fried,25.41,66.78,2.67,0,Bear Crawls,5,16.88,Builds upper body strength,338.3,"Chest, Triceps",Cable Machine,Advanced,Chest,Middle,Skull crushers
25.11,Female,105.44,1.88,174.12,155.79,67.11,1.33,1277.86,Cardio,30.8925715,2.28,2.99,2.01,29.83,4.02,0.02,198.29,79.79,52.85,3016,Black Wrap,Lunch,Balanced,43.02,2092.8,254.4,466.3,Raw,50.18,36.63,3.97,0,Mountain Climbers,3.98,15.03,Builds explosive power,355.39,"Obliques, Core",Pull-up Bar,Beginner,Shoulders,Lower,Plate pinch
39.05,Male,102.34,1.94,192.28,133.68,50.01,0.9,792,Cardio,32.46285886,2.41,3.01,1,27.19,3.02,-0.03,282.28,111.71,74.89,2624,Inside Pasta,Lunch,Vegan,9.88,434.89,2.84,459.96,Baked,30.6,105.57,1.9,1,Russian Twists,5.02,22,Builds shoulder width,368.66,Core,Resistance Band,Beginner,Forearms,Posterior,Bicycle crunches
44.1,Female,89.6,1.99,192.1,135.01,58.1,1.4,1848,HIIT,23.09052321,2.02,4,2,22.63,2.99,1.04,321.28,128.81,85.61,2601,Other Soup,Dinner,Paleo,7.3,2434.23,249.77,96.89,Raw,59.95,49.69,1.91,-0.01,Shoulder Press,4.99,14.99,Strengthens back and legs,339.35,"Chest, Triceps",Wall,Advanced,Back,Lower,Close-grip bench press
18.06,Male,58.56,1.61,174.64,150.33,70.81,1.9,2226.42,Strength,24.49692166,2.72,3.99,3.02,22.59,2.99,0.03,231.25,92.48,61.37,1549,Outside Sandwich,Snack,Low-Carb,30.58,276.74,266.46,269.54,Baked,59.07,21.53,1.99,-0.01,Tricep Dips,4.99,24.98,Improves core stability and balance,334.26,"Back, Biceps",None or Dumbbells,Advanced,Arms,Anterior,Decline cable crossovers
57.07,Female,76.9,1.86,173.05,140.94,55.07,1.15,827.31,Yoga,29.43941071,2.8,3.99,1.99,22.23,1.98,0,207.11,82.81,55.52,1981,Some Pasta,Breakfast,Vegetarian,4.58,365.77,281.74,161.5,Fried,7.91,66.82,4.15,0,Kettlebell Swings,3.99,16.01,Advanced core exercise,353.89,"Shoulders, Upper Back",Bench or Sturdy Surface,Beginner,Legs,Lats,Russian twists
49.66,Male,52.57,1.84,195.03,124.28,51.7,1.38,1324.8,Cardio,14.84197562,3.1,4,2,15.53,3,-0.02,169.5,68.42,45.57,1497,Crime Pasta,Snack,Paleo,41.73,2315.93,148.84,212.06,Baked,57.1,8.62,2.2,0,Resistance Band Pull-Aparts,5.01,16.02,Targets biceps and forearms,346.31,Full Body,Dumbbells,Beginner,Legs,Triceps,Hanging leg raises
31.63,Male,126.53,1.83,197.68,146.15,61.92,1.1,790.68,Yoga,35,2.09,2.99,1.98,37.78,3,0.02,304.8,122.78,81.51,3255,Six Curry,Breakfast,Keto,44.74,86.45,181.63,284.83,Baked,7.94,54.61,2.2,0.01,Leg Raises,5,18.06,Improves lower back strength,361.2,"Glutes, Hamstrings",Cable Machine or Resistance Band,Beginner,Abs,Lower Chest,Bird dog
41.8,Male,59.72,1.74,194.24,141.17,51.86,1.78,2545.4,HIIT,19.44670308,2.7,5.01,3,19.73,3.01,-0.03,202.57,80.05,53.22,1741,Glass Curry,Dinner,Paleo,35.39,2121.96,204.6,433.04,Roasted,8.84,22.7,1.19,0.01,Tricep Extensions,5.01,15.88,Strengthens core and improves mobility,364.95,"Quadriceps, Glutes",Barbell,Beginner,Shoulders,Quads,Dumbbell flyes
37.51,Male,76.59,1.82,191.56,121.3,49.83,1.49,1072.8,Yoga,22.57558194,2.8,3.98,2,23.12,3.02,-0.02,188.66,76.42,50.28,1950,Bag Wrap,Lunch,Balanced,2.81,2413.37,111.51,329.67,Roasted,39.77,61.64,2.4,1,Deadlifts,3.98,19.04,Improves back strength and posture,344.07,"Quadriceps, Calves, Glutes",Pull-up Bar,Beginner,Back,Grip Strength,Plate pinch
39.98,Male,79.99,1.76,167.75,166.6,74.26,1.63,1902.7,Strength,28.83045323,3.5,5.01,2.97,25.82,3.01,0.01,235.62,94.49,62.77,2030,College Pasta,Dinner,Keto,27.18,1259.35,186.37,484.4,Steamed,41.61,13.87,3.4,0.01,Dead Bugs,5.03,21.92,Builds lower body power,348.23,Triceps,Resistance Band,Beginner,Shoulders,Posterior,Leg raises
25.49,Female,127.55,1.73,167.12,159.98,62.04,1.33,1607.84,HIIT,35,2.91,3.02,1,42.62,2.99,-0.01,296.66,117.99,78.86,3313,Entire Stew,Snack,Low-Carb,4,2351.97,119.73,379.38,Boiled,46.93,29.37,2.48,0.99,Frog Jumps,2.99,10.07,Builds shoulder width,130.05,"Core, Shoulders, Hips",Wall,Beginner,Arms,Triceps,Bird dog
58.24,Female,56.96,1.7,170.09,121.89,57.07,0.74,895.4,HIIT,23.56504525,2.7,1.99,1,19.71,3,-0.01,205.31,83.24,55.37,1390,Prove Rice,Dinner,Low-Carb,8.38,1490.43,270.33,284.74,Roasted,48.63,89.23,3.01,0.01,Scissors Kicks,4.99,16.02,Strengthens core and improves mobility,357.81,"Shoulders, Upper Back",None or Dumbbells,Advanced,Forearms,Lats,Standing calf raises
48.18,Female,56.53,1.51,184.75,125.44,52.26,1.37,1311.91,Cardio,28.50765309,2.11,3.97,1.97,24.79,3,0.01,215.24,85.55,57.33,1489,Campaign Soup,Breakfast,Paleo,35.32,1707.76,53.01,130.6,Roasted,18.25,96.05,1.99,0.01,Plyometric Push-ups,5.02,23.09,Improves unilateral leg strength and balance,330.57,Lower Abs,"Bench, Barbell",Intermediate,Legs,Wrist Flexors,Dumbbell rows
27.19,Male,88.2,1.98,161.8,152.85,52.99,1.8,2577.96,HIIT,21.0470718,3.5,4.01,3.02,22.5,2.02,1,296.47,118.19,79.21,2531,Ground Pasta,Dinner,Vegan,19.02,345.67,219.13,116.63,Boiled,31.19,13.76,4.42,0,Frog Jumps,4,23.96,Improves core stability and upper body strength,336.55,Lower Abs,Box or Platform,Advanced,Abs,Middle,Incline dumbbell press
40.14,Male,51.72,1.61,198.12,128.23,70.18,0.86,566.57,Yoga,23.71315013,3.32,1.99,1,19.95,1.99,-0.02,217.46,86.75,57.22,1325,Section Salad,Snack,Keto,27.11,1959.49,37.92,145.4,Grilled,28.56,78.55,2.62,0,Push Ups,3.99,23,Strengthens back and improves posture,359.4,"Core, Obliques",Bench or Step,Intermediate,Back,Lower,Hammer curl
41.1,Female,77.05,1.79,171.94,132.06,56.07,1.4,1849.54,HIIT,25.76563404,2,4,2.01,24.05,2.99,0.02,291.2,115.86,77.53,2334,Might Sandwich,Snack,Paleo,22.78,790.39,88.06,392.68,Roasted,5.79,35.76,4.81,0,Leg Press,4,22.02,Builds calf muscles,331.76,"Legs, Shoulders, Core",Bench or Sturdy Surface,Advanced,Forearms,Wrist Flexors,Bent-over lateral raises
52.36,Female,51.93,1.67,169,124.55,51.78,1.5,1818.3,HIIT,22.05923703,1.51,1.97,1.02,18.62,3.01,0.01,282.27,112.63,74.94,1353,Make Sandwich,Dinner,Paleo,29.84,1419.55,134.3,177.23,Baked,51.42,67.35,1.53,0,Bench Press,4.98,18,Targets lower abs,350.88,Shoulders,"Bench, Barbell",Intermediate,Shoulders,Anterior,Leg extensions
36.02,Female,109.87,1.77,191.11,156.06,73.76,1.19,786.11,Yoga,33.42563808,3.42,1.99,1.01,35.07,3,0.01,306.41,122.15,82.17,2728,Tax Curry,Snack,Vegetarian,46.88,2000.77,252.88,161.17,Raw,20.3,62.42,2.79,0,Inverted Rows,4,22.99,Strengthens shoulders,369.34,"Shoulders, Triceps",Resistance Band,Intermediate,Arms,Wrist Extensors,Face pulls
33.07,Male,102.83,1.75,185.94,140.25,52.91,1.4,1003.8,Yoga,29.93347627,2.21,3,1.95,33.58,3,-0.01,288.65,115.2,76.75,2657,Congress Salad,Snack,Balanced,3.45,459.13,251.52,332.16,Roasted,36.93,92.96,3.1,1,Bench Press,4.03,21.02,Full body workout,363.78,"Lower Chest, Triceps",Cable Machine,Beginner,Chest,Lats,Dumbbell rows
37.35,Female,88.65,1.79,182.36,137.78,67.81,1.74,2490.11,HIIT,29.5974905,3.47,5.04,3.01,27.67,3.01,4,428.87,171.53,113.84,2621,Pick Rice,Lunch,Balanced,42.99,891.54,16.44,309.1,Boiled,28.96,42.46,1.1,0,Russian Twists,3.99,21.86,Combines lower body and upper body strength,373.65,"Chest, Triceps",Kettlebell,Beginner,Abs,Middle,Pull-ups
21.24,Female,80.78,1.9,193.85,137.76,55.01,1.8,2575.98,HIIT,22.69183195,3.5,4.01,3.01,22.38,3.01,-0.01,162.37,63.98,42.89,2174,Item Rice,Breakfast,Paleo,38.15,926.5,217.13,211.58,Baked,38.32,9.49,4.12,0,Russian Twists,5.01,17.95,Targets lower abs,355.67,"Upper Back, Rear Deltoids",None or Dumbbells,Beginner,Forearms,Middle,Military press
25.76,Female,70.53,1.5,182.39,142.14,53.94,1.15,1011.08,Cardio,30.919319,2.6,1.97,1,31.35,3,-0.04,217.65,85.89,58.01,1839,Challenge Curry,Snack,Paleo,4.67,2179.93,116.05,240.22,Fried,37.85,112.78,4.85,0,Seated Rows,5.01,21.05,Strengthens lower abs,368.91,"Back, Core, Shoulders",Cable Machine or Resistance Band,Intermediate,Legs,Upper,Pull-ups
40.09,Male,54.73,1.61,183.75,157.78,64.12,1.55,1209,Yoga,22.60975439,2.71,3.98,3,21.11,2,0.02,274.39,109.75,73.35,1549,Everybody Curry,Lunch,Balanced,31.52,1792.05,43.21,315.25,Steamed,52.11,112.34,2.86,0.01,Calf Raises,4.99,18.01,Improves balance and leg strength,333.31,"Rear Deltoids, Upper Back",Kettlebell,Beginner,Chest,Triceps,Dumbbell rows
32.59,Male,52.75,1.66,190.86,128.92,71.91,1.26,1248.53,Strength,23.56556909,2.49,2.96,1.01,19.14,3.01,0,247.09,98.22,66.16,1446,Near Stew,Dinner,Vegetarian,2.48,107,201.6,143.15,Baked,9.95,42.06,4.78,0,Reverse Lunges,4,24.13,Targets obliques and improves core rotation,350.36,Lower Abs,Step or Box,Advanced,Back,Quads,Dumbbell rows
52.62,Female,84.36,1.76,164.87,137.25,69.2,1.68,1308.38,Yoga,26.90164504,3.5,5.01,2.98,27.23,1.99,0.02,251.88,100.12,66.98,2285,Them Rice,Breakfast,Paleo,8.63,1561.45,81.35,146.05,Grilled,10.45,87.04,4.32,0.99,Russian Twists,4.01,22.96,Improves flexibility,351.92,Calves,Box or Platform,Beginner,Back,Posterior,Crunches
58.93,Female,59.66,1.76,193.79,120.64,52.98,1.72,1787.42,Cardio,21.52076364,2.7,5,2.99,19.26,3.03,0.01,201.78,80.95,53.99,1789,Issue Curry,Lunch,Vegetarian,34.91,2130.37,126.94,450.97,Baked,59.47,65.86,2.34,0,Deadlift,5.01,14.96,Strengthens core and improves mobility,337.04,Core,None or Dumbbells,Beginner,Legs,Upper,Chest flyes
52.03,Female,59.98,1.71,169.37,151.06,58.16,1.24,1499.04,HIIT,21.92316157,2.02,2.97,1,20.51,2.04,-0.02,178.89,72.16,48.06,1648,Act Curry,Lunch,Vegan,28.52,1033.56,161.98,423.53,Steamed,50.01,116.84,3.49,0,Plyo Squats,3,11.85,Improves posture and strengthens upper back,199.88,"Core, Shoulders, Hips",Resistance Band or Cable Machine,Advanced,Shoulders,Posterior,Decline dumbbell flyes
30.75,Female,76.83,1.62,174.06,127.01,73.99,1.39,999.97,Yoga,28.9754494,2.29,3.97,1.99,29.28,1.99,1.99,312.47,125.01,83.31,2268,Simply Stew,Dinner,Balanced,42.56,1154.1,83.18,467.17,Steamed,18.18,28.11,2.27,-0.01,Wall Angels,4,17.11,Strengthens lower abs,345.11,"Shoulders, Upper Back",Box or Platform,Advanced,Chest,Lower Chest,Barbell curls
29.01,Male,58.43,1.61,197.67,121.65,72.05,1.2,1296,Strength,27.54594873,2.01,2.99,2,22.54,1.99,-0.01,220.02,87.44,58.56,1771,Member Curry,Lunch,Balanced,9.75,312.81,4.53,433.09,Baked,51.03,26.98,2.89,1.01,Mountain Climbers,4,16.03,Improves balance and coordination,350.76,"Core, Lower Back",Pull-up Bar,Advanced,Shoulders,Quads,Dumbbell curls
39.14,Female,71.32,1.88,197.84,146.63,50.97,0.55,665.5,HIIT,23.9674933,2.21,1.99,1,20.18,3,0,256.52,101.44,67.94,1934,Film Wrap,Breakfast,Low-Carb,25.86,755.83,122.14,106.63,Fried,40.21,114.88,4.09,0,Deadlift,5.01,20.01,Improves posture and back strength,367.32,"Glutes, Hamstrings",Dumbbells or Barbell,Advanced,Shoulders,Wrist Flexors,Pull-ups
39.08,Male,55.58,1.71,183.69,147.75,59.11,1.96,2039.97,Cardio,20.39435029,2.7,5,3.01,19.01,3,-0.02,202.77,81.81,54.86,1656,Add Stew,Snack,Vegetarian,7.24,1222.64,185.13,439.22,Raw,6.72,112.15,1.79,0,Bear Crawls,4,15.15,Targets obliques and improves core rotation,340.84,"Glutes, Hamstrings, Core",None or Dumbbell,Advanced,Forearms,Anterior,Plate pinch
38.16,Female,44.9,1.68,193.25,143.88,57.92,1.01,1092.62,Strength,20.66838612,2.42,2.98,2.02,15.91,3,0.02,282.8,113.61,75.84,1242,Suddenly Salad,Breakfast,Vegan,12.42,1212.06,4.43,343.83,Fried,57.72,117.79,3.2,0,Tricep Extensions,3.98,17.95,Improves core stability and balance,338.1,"Triceps, Chest",Low Bar or TRX,Beginner,Legs,Posterior,Chest flyes
26.29,Female,59.21,1.51,181.25,128.96,71.25,1.69,2420.42,HIIT,24.98062256,2.71,4.97,3.02,25.97,4.01,-0.02,180.13,72.39,48.72,1872,Phone Stew,Snack,Paleo,43.55,1533.61,81.34,126.35,Baked,59.59,40.34,4.3,0.01,Resistance Band Pull-Aparts,4.98,19.97,Builds lower body power and endurance,355.43,Core,"Bench, Barbell",Beginner,Legs,Grip Strength,Incline dumbbell flyes
26.92,Male,87.68,1.63,182.88,135.14,73.97,1.75,2052.22,Strength,29.90042295,3.5,4.99,3.03,33,4.01,3.99,410.38,163.87,109.15,2558,Stuff Stew,Dinner,Balanced,7.53,1514.17,99.7,108.68,Boiled,13.91,21.75,3.57,0.99,Step-ups,3.99,23.18,Improves hip power and cardiovascular fitness,372.07,"Chest, Triceps, Shoulders",None or Dumbbell,Advanced,Shoulders,Lats,Leg raises
45.05,Male,63.63,1.54,199.17,133.28,58.05,1.66,1727.73,Cardio,29.04226822,2.71,3.99,3.01,26.83,2.98,0.02,223.1,89.45,59.04,1918,Hit Rice,Snack,Vegetarian,27.1,1515.19,280.84,424.7,Raw,40.6,80.4,4.39,0,Lateral Raises,4,25,Targets biceps and forearms,368.48,Shoulders,Parallel Bars or Chair,Intermediate,Chest,Upper,Barbell squats
58.04,Female,109.54,1.91,197.5,156.16,55.87,1.48,1065.6,Yoga,30.72971439,2.22,3.02,2,30.03,3.01,0,306.96,122.84,81.67,2956,Amount Stew,Dinner,Vegan,15.4,109.15,31.29,392.99,Steamed,7.55,62.15,1.9,0,Decline Push-ups,4.98,15.91,Improves unilateral leg strength and balance,357.61,"Upper Chest, Triceps",Pull-up Bar,Advanced,Back,Wrist Extensors,Leg curls
56.29,Female,125.88,1.86,196.94,129.1,63.86,1,960.8,Cardio,35,2.2,3.04,2.01,36.39,2.99,0,298.21,120.07,79.45,3424,Well Pasta,Breakfast,Low-Carb,39.98,1286.81,251.92,312.73,Steamed,47.66,13.73,2.87,0.01,Face Pulls,4,15.05,Builds lower body power and endurance,366.43,"Quadriceps, Glutes",Bench or Chair,Advanced,Arms,Lower Chest,Dumbbell front raises
50.13,Female,70.32,1.68,186.97,161.25,70.19,1.16,1147.36,Strength,29.25252977,2.51,1.98,1,24.91,3,0.02,298.86,119.65,80.16,1861,Treatment Rice,Snack,Balanced,20.54,927.21,7.93,327.28,Baked,46.14,62.35,1.37,0,Prone Cobras,2.99,11.87,Targets lower chest,259.05,"Upper Chest, Triceps",None or Dumbbells,Intermediate,Chest,Posterior,Triceps dips
