FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,WORK_LIFE_BALANCE_SCORE,GENDER_Male
3,5,10,2,9,10,5,5,1,10,1,10,10,5,10,7,2,7,2,2,2,686.6,False
5,3,10,10,10,6,4,5,1,7,4,10,2,6,5,1,2,8,4,10,3,732.7,False
4,2,10,10,5,8,5,2,2,6,3,10,2,8,2,2,1,10,3,7,1,685.5,False
3,2,8,10,10,10,8,5,2,10,3,7,10,7,1,2,2,10,3,10,3,742.5,False
2,3,3,10,10,10,5,1,2,7,4,2,6,8,0,2,2,4,1,1,2,663.5,False
4,3,6,3,10,10,5,4,1,4,6,8,3,7,0,4,2,4,5,9,1,710.4,False
3,5,8,9,5,10,4,2,2,8,4,10,2,8,10,4,2,3,3,5,1,658.3,False
1,2,4,6,1,10,4,0,2,5,1,5,1,6,0,1,2,8,1,2,2,633.1,True
5,2,3,6,4,9,3,2,1,5,3,6,3,8,0,3,2,2,3,5,3,677.9,False
4,2,5,10,10,2,5,3,2,4,2,1,1,6,10,1,2,3,4,4,1,640.8,False
1,4,1,1,1,7,1,0,1,0,5,3,1,6,10,8,1,2,2,1,0,557.9,False
4,2,8,6,2,10,1,1,2,6,3,5,10,8,3,3,2,10,1,2,2,669.2,False
5,4,10,6,5,10,7,4,1,4,4,10,1,7,0,2,2,6,4,5,2,712.5,True
4,3,10,1,10,2,4,5,1,9,2,10,2,7,0,0,2,10,1,7,3,712.5,False
0,5,0,2,1,2,0,5,1,0,0,1,0,10,0,2,1,1,0,0,1,571.9,True
0,5,0,2,1,2,1,5,1,1,0,1,0,10,0,2,1,1,0,0,1,575.3,True
4,3,1,7,5,8,5,3,1,7,3,8,3,7,10,1,2,3,9,4,1,678.1,False
5,2,4,5,4,4,2,1,1,4,4,6,3,7,8,3,1,4,8,8,1,648.8,True
1,1,10,2,1,5,1,0,1,5,4,8,1,6,5,0,2,4,1,7,1,649.0,True
2,5,6,4,10,0,10,3,1,5,1,2,1,9,0,4,1,10,1,10,2,656.9,False
3,3,6,8,7,6,6,2,1,8,4,5,3,6,4,7,2,5,4,8,1,680.7,False
3,3,6,8,7,6,6,2,1,8,4,5,3,6,4,7,1,5,4,8,1,663.7,False
2,1,3,3,2,4,1,5,2,5,2,10,1,7,0,1,2,5,3,10,1,661.5,True
3,1,1,1,1,3,1,1,1,0,0,6,0,7,2,2,2,3,1,1,3,609.7,False
3,2,6,4,10,10,1,1,2,7,0,1,1,8,0,1,2,6,2,6,1,656.5,False
4,3,10,10,10,10,3,3,1,9,3,8,3,8,0,0,2,5,6,10,1,739.5,True
3,5,4,0,2,3,0,5,1,8,2,10,0,4,0,0,2,5,1,10,1,657.5,False
0,4,0,2,2,3,1,0,2,1,0,4,0,4,0,10,1,1,0,0,2,528.8,False
4,3,10,8,10,10,4,5,2,10,2,7,5,6,10,1,2,10,1,3,3,694.7,True
5,1,10,4,2,2,0,1,1,10,1,4,0,8,10,2,2,4,5,10,3,662.2,False
5,2,3,1,10,10,3,5,1,8,2,5,2,7,1,0,2,5,2,10,1,704.7,False
5,2,10,1,4,5,0,5,1,8,2,10,1,8,0,6,2,10,1,6,2,694.0,False
3,3,8,10,5,7,3,4,1,8,4,10,5,8,0,1,1,10,3,7,1,709.3,False
0,5,0,2,0,0,3,0,2,0,1,1,10,6,10,10,1,2,1,10,1,538.8,True
1,1,2,2,1,3,4,0,1,2,2,8,10,8,0,1,2,1,1,10,0,654.5,True
5,1,6,4,10,4,5,1,2,10,1,1,10,8,0,3,2,0,3,10,3,680.3,False
3,4,8,7,5,7,8,2,2,7,2,3,4,6,6,5,2,10,0,4,1,651.4,False
5,2,10,5,5,10,5,2,1,9,4,2,10,8,0,0,2,7,5,5,1,724.7,False
5,2,3,6,10,10,5,2,2,5,2,6,0,6,1,0,2,8,2,5,3,677.5,False
4,4,8,2,10,10,6,5,2,6,5,7,8,6,10,0,2,10,3,7,3,696.4,False
2,4,10,6,4,5,3,1,1,8,1,2,2,8,0,1,1,10,6,4,2,658.4,False
5,0,8,3,10,7,6,3,1,10,4,8,5,8,0,1,2,10,5,10,2,749.7,False
3,4,4,7,4,4,10,5,2,6,1,9,8,6,0,9,2,7,1,10,2,676.4,False
3,4,1,4,2,5,2,2,2,1,1,9,0,6,7,10,2,2,0,10,1,594.8,False
5,3,8,1,10,10,8,5,1,9,5,10,10,8,2,0,2,8,5,10,1,758.6,False
3,4,3,1,4,3,4,0,1,5,0,7,1,6,1,7,2,10,1,10,1,640.3,True
3,2,2,3,8,10,2,1,1,8,1,8,8,7,2,2,2,2,1,7,2,678.1,True
2,3,10,4,10,10,3,1,2,8,3,4,3,6,0,1,2,10,1,7,2,678.8,True
1,5,0,1,1,3,4,1,2,1,0,1,0,10,10,6,2,3,0,1,2,551.5,False
5,5,2,2,10,8,1,0,1,9,2,10,3,6,3,3,1,4,2,1,1,639.2,False
1,3,10,6,10,10,8,4,1,9,6,7,5,7,5,1,2,7,5,3,1,718.7,False
1,3,10,6,7,10,7,3,1,9,4,5,5,7,4,2,2,7,3,3,1,697.9,False
2,3,6,3,5,5,5,3,1,5,3,4,4,7,0,1,2,5,4,4,3,670.5,False
4,3,8,10,10,10,2,1,1,4,3,3,10,7,7,6,1,5,2,6,2,666.9,False
5,4,3,10,4,8,6,2,2,4,0,8,5,6,0,5,1,4,2,3,1,638.8,True
5,4,10,3,10,8,0,5,2,3,1,5,2,6,0,3,1,4,5,6,1,651.8,False
3,2,2,3,2,3,4,1,1,8,3,10,1,9,8,2,1,4,2,9,1,639.8,True
3,2,3,8,8,5,3,5,1,5,1,6,10,7,0,6,2,2,2,7,2,687.9,False
2,3,6,10,3,4,0,1,2,1,2,2,0,7,9,1,2,1,0,2,1,593.6,False
3,4,10,8,8,3,1,1,1,6,1,5,0,8,10,7,1,10,1,3,1,626.7,False
2,2,5,1,0,10,10,1,1,7,3,3,3,6,1,1,1,10,1,7,1,658.2,True
1,2,0,4,1,1,1,0,1,8,0,1,0,7,0,3,1,5,5,7,3,605.3,False
3,2,3,6,5,9,6,4,2,5,4,1,5,6,3,2,1,10,2,2,2,645.9,False
2,2,3,6,3,2,5,3,1,4,3,6,2,8,2,0,2,5,5,6,1,669.4,True
1,3,2,5,1,2,1,0,1,2,1,10,0,7,0,0,1,0,0,7,1,605.4,False
3,2,9,7,7,5,3,4,2,9,2,5,10,6,0,3,2,5,2,8,3,690.9,False
5,2,10,7,4,3,5,2,1,7,7,1,9,9,8,3,2,10,5,10,0,709.4,False
3,5,0,3,2,10,0,0,2,10,1,10,10,6,0,4,1,0,3,10,1,627.3,False
2,5,0,10,3,2,4,1,1,5,2,4,0,8,0,10,2,10,3,10,3,643.5,False
2,1,1,0,0,6,2,0,1,5,2,8,2,7,2,3,2,5,4,4,1,637.3,True
1,2,6,8,4,5,2,1,1,5,1,9,5,10,0,3,2,1,2,4,1,665.3,False
5,2,10,5,6,5,8,3,1,7,3,10,2,9,5,5,2,8,3,10,1,714.6,True
5,3,0,6,5,10,2,1,1,9,3,9,2,5,2,6,1,3,5,3,1,649.0,False
5,2,10,4,4,10,4,3,1,9,2,10,1,7,0,3,2,9,1,10,2,717.6,False
5,4,10,3,10,10,8,4,1,8,2,10,10,7,0,0,2,10,2,8,2,748.2,True
3,5,0,7,2,5,1,2,1,3,1,9,0,7,0,8,2,6,0,10,2,637.5,False
2,3,0,7,2,5,2,3,1,3,2,9,0,4,0,3,1,5,1,7,1,628.4,False
3,4,3,5,0,5,2,1,1,3,4,3,4,5,0,3,2,2,4,5,0,634.2,True
5,4,3,7,4,4,3,3,1,2,0,3,0,9,1,5,2,5,3,8,1,653.7,True
1,3,3,5,6,2,10,0,1,8,2,10,0,8,10,0,1,10,4,10,1,656.6,True
2,0,0,10,2,5,2,0,1,10,1,1,0,10,0,0,2,1,7,10,2,670.5,False
1,2,2,1,3,7,1,1,2,2,1,1,0,8,5,0,2,0,0,4,2,588.5,False
2,3,9,3,2,8,3,1,1,8,3,6,5,8,0,10,2,10,1,8,2,672.8,False
5,4,10,3,3,10,4,4,1,7,2,10,3,6,3,2,2,6,3,5,1,695.3,True
2,3,2,5,6,5,1,1,2,6,1,2,1,6,0,5,1,5,1,1,2,591.7,True
3,2,10,5,1,10,2,0,2,8,3,5,0,9,0,7,2,3,1,8,1,649.0,False
5,3,4,10,6,10,4,5,2,8,4,7,10,7,5,1,2,10,2,5,3,708.5,False
1,1,4,6,6,4,6,0,1,9,4,3,2,6,0,1,2,10,2,4,0,673.5,False
0,4,1,1,8,3,1,1,1,1,1,4,3,5,0,8,2,1,0,4,1,595.3,False
3,4,4,6,10,10,0,3,2,4,1,10,5,7,5,4,2,10,6,5,3,671.7,False
3,4,3,4,2,3,3,4,1,0,1,10,3,5,2,7,2,0,2,3,0,625.4,False
5,1,9,6,2,7,5,1,1,7,6,7,4,10,0,1,2,1,3,7,0,705.7,True
5,2,9,10,8,10,6,3,1,10,5,9,5,9,0,3,2,10,6,5,2,753.5,True
5,1,7,4,2,10,5,0,1,8,8,8,2,10,0,1,2,1,5,7,0,707.6,True
5,0,9,4,4,8,1,0,1,9,7,10,2,10,0,0,2,3,5,5,0,713.1,True
5,2,5,4,7,1,3,5,2,9,1,7,10,6,1,1,2,4,8,4,3,687.9,False
2,3,7,4,10,8,10,5,1,5,5,2,10,6,0,3,2,10,6,10,3,729.4,False
5,3,10,10,5,5,10,3,2,8,2,5,2,7,10,9,2,5,3,7,3,665.6,False
1,2,4,3,1,2,0,1,2,2,0,2,3,8,0,2,1,4,0,1,1,576.8,True
2,5,5,6,2,4,6,0,2,3,1,5,5,6,10,10,2,10,3,3,2,602.5,False
3,4,10,5,8,4,3,5,1,5,4,7,0,6,10,2,2,5,2,7,2,669.2,False
2,2,2,6,4,4,5,5,1,6,2,4,4,7,0,3,2,8,4,6,2,680.7,False
5,5,5,5,10,10,3,4,1,4,5,4,0,9,0,3,2,3,9,5,2,694.7,False
3,4,2,2,10,3,1,5,2,3,4,1,0,9,7,0,2,3,0,0,2,612.5,False
4,3,10,6,4,7,1,1,1,7,2,5,1,7,1,3,2,6,2,10,2,679.2,True
2,3,5,3,0,10,3,1,1,7,6,3,2,8,5,1,2,10,6,10,1,677.3,True
5,1,3,8,10,10,3,1,1,10,6,6,10,7,0,0,2,4,1,10,2,730.4,False
3,5,6,3,6,4,3,2,1,10,4,2,1,8,0,2,1,10,4,7,2,658.4,False
5,3,10,4,10,2,5,5,1,9,1,4,10,6,0,1,2,7,2,6,2,714.5,False
5,5,5,5,6,10,0,0,1,0,4,6,5,6,10,8,1,10,1,3,0,619.7,False
4,3,4,7,4,5,2,0,1,8,2,6,5,7,0,3,2,7,3,5,1,672.6,False
3,3,0,2,3,3,0,3,2,8,0,3,0,8,0,3,2,2,0,1,2,602.5,False
4,3,1,7,10,4,2,5,1,8,2,5,3,7,4,0,2,9,1,7,3,689.4,False
3,2,2,10,6,6,4,5,2,8,10,2,3,7,4,2,2,10,4,3,3,683.7,True
1,5,0,1,6,4,4,3,1,9,6,4,3,6,6,1,2,6,0,1,3,632.9,False
1,1,5,5,3,7,5,1,1,5,2,5,1,8,0,3,2,10,1,4,1,665.8,True
5,3,10,10,10,6,6,4,2,10,7,6,10,6,0,1,2,5,6,7,3,733.6,False
5,2,3,10,10,10,2,2,1,8,2,10,2,8,0,1,2,3,2,7,3,711.0,False
1,3,1,2,2,1,2,0,2,2,0,3,0,10,10,4,1,2,0,10,1,558.7,True
4,3,5,10,10,10,5,2,1,10,9,10,10,8,0,4,2,7,10,5,3,753.5,False
3,2,2,3,2,5,4,3,1,6,3,3,0,7,2,4,1,8,4,4,1,636.3,False
3,3,3,8,4,1,2,4,2,4,1,2,2,9,10,4,1,7,1,6,1,604.2,False
1,4,4,6,10,7,2,3,2,2,5,2,2,5,4,1,1,8,1,5,3,620.4,True
3,4,5,5,10,6,3,3,1,7,1,10,1,5,7,5,2,0,0,3,1,645.8,False
3,4,10,1,4,1,3,1,2,6,2,9,1,6,10,2,1,4,1,2,1,594.8,True
2,3,2,10,1,10,7,2,2,10,5,10,4,6,10,1,2,6,5,8,1,674.9,True
5,3,8,5,8,10,5,5,2,10,5,10,5,6,0,2,2,4,4,7,3,715.7,False
2,1,2,2,0,1,1,3,2,1,2,1,1,6,0,10,2,5,0,10,3,596.6,True
5,1,9,4,2,4,6,1,1,4,3,2,3,8,3,3,2,10,3,7,0,680.5,True
3,2,10,8,8,8,0,0,1,10,5,10,6,7,0,0,2,7,1,7,2,715.9,False
3,3,6,5,8,2,2,0,2,5,2,10,0,7,0,2,2,5,1,3,3,639.4,False
5,1,7,3,0,9,5,2,1,5,3,7,10,8,0,2,2,2,1,9,1,698.5,False
0,1,10,9,8,10,1,1,1,2,1,2,1,8,2,4,1,8,0,1,1,639.7,True
4,4,5,4,10,4,4,5,1,5,3,5,8,7,0,1,2,5,10,10,3,714.9,False
2,2,8,4,4,5,3,3,1,3,2,9,1,7,10,4,2,7,2,8,1,657.9,False
4,2,4,6,1,10,1,1,2,5,6,3,2,8,0,1,2,4,1,10,3,658.6,False
5,1,6,10,10,5,3,5,1,10,6,6,3,8,10,0,2,10,4,10,3,732.3,False
5,2,5,3,3,10,10,2,2,10,1,4,2,7,0,1,2,10,10,10,3,706.2,False
3,4,6,7,6,6,1,5,2,9,1,9,1,5,0,7,2,4,0,0,1,642.2,False
5,2,10,3,4,5,4,3,1,4,5,7,5,9,3,3,2,8,2,9,3,702.1,False
2,3,10,10,10,8,5,2,1,5,3,6,0,7,0,1,1,10,5,10,1,699.8,False
4,2,0,2,10,10,0,5,1,7,6,5,0,7,10,2,1,5,8,8,3,665.6,True
3,3,6,9,8,5,4,3,2,7,7,1,4,10,3,3,2,3,6,7,0,677.3,False
5,2,5,8,10,10,5,3,1,7,5,10,5,7,0,5,2,10,4,4,2,729.5,False
0,3,4,5,4,5,4,5,1,2,2,1,1,6,0,5,1,5,1,10,1,628.9,False
2,5,1,4,4,4,0,1,1,2,0,1,0,8,0,4,1,2,1,3,1,583.4,False
0,4,0,4,0,3,2,0,2,5,3,1,1,8,5,1,2,3,5,9,1,597.0,True
5,4,8,10,7,3,4,2,1,6,0,8,4,7,5,6,2,10,3,3,1,679.8,False
2,4,2,0,9,8,0,2,1,2,2,4,2,9,0,8,1,4,4,10,2,628.4,True
2,4,2,10,5,5,3,5,2,2,2,1,0,5,0,5,2,10,0,2,2,627.0,True
2,1,10,8,10,5,0,5,1,7,8,7,0,8,0,2,2,10,10,10,1,739.3,True
4,4,8,10,10,7,8,3,2,8,4,10,2,8,0,10,2,7,7,7,2,704.2,False
1,4,3,6,5,7,5,5,1,4,1,1,6,7,0,3,1,10,2,10,0,661.4,False
5,4,8,10,7,3,4,2,1,6,0,8,4,7,5,6,2,10,3,3,1,679.8,False
2,4,4,8,4,4,0,0,2,8,3,4,3,6,6,7,2,5,1,8,2,615.9,True
4,4,10,5,7,7,7,3,1,8,7,8,10,8,0,2,2,10,4,9,3,741.2,False
3,1,10,3,10,3,3,3,2,7,2,10,1,8,0,1,1,5,5,10,2,677.0,True
4,4,5,5,3,10,4,0,2,9,1,3,4,7,3,3,2,10,1,2,3,644.8,True
1,1,3,4,10,10,4,3,1,8,7,10,10,6,0,2,2,5,5,10,1,727.6,True
3,4,1,1,10,1,3,3,2,7,2,3,0,6,5,0,1,10,1,3,2,608.9,False
3,1,5,9,10,10,5,3,1,9,6,2,3,7,0,1,2,10,6,10,1,734.7,False
1,4,6,10,6,2,2,3,1,2,2,3,0,10,0,1,1,10,1,8,1,650.5,False
5,0,10,9,8,6,4,2,1,6,6,8,4,9,1,1,2,10,3,10,1,743.1,True
3,1,7,10,10,10,10,2,2,8,10,5,4,9,10,1,2,10,5,10,3,725.5,False
5,1,10,7,7,10,7,0,1,8,10,8,3,6,0,0,2,10,5,10,1,749.3,True
3,4,8,5,4,10,6,5,2,8,7,10,8,6,0,3,2,7,5,3,2,703.8,False
4,5,1,4,5,10,4,5,1,5,3,8,1,6,5,5,2,5,2,5,3,660.9,False
4,2,10,10,10,4,6,3,1,5,6,2,3,7,0,1,1,5,5,10,2,702.4,True
2,5,2,2,10,10,3,1,2,4,4,5,2,10,10,3,2,10,2,7,2,639.0,True
1,3,7,4,4,2,3,2,2,4,0,1,1,9,0,1,2,2,0,1,1,609.1,True
5,0,10,3,10,5,0,0,2,0,0,9,1,4,0,10,2,2,4,10,3,645.4,True
4,2,8,5,4,9,5,3,1,6,2,7,4,8,0,10,2,9,3,3,2,688.3,False
4,1,8,9,3,4,6,4,1,6,2,4,2,9,0,1,2,6,3,4,1,698.1,False
5,5,3,5,3,2,4,3,1,3,3,8,0,6,8,7,1,4,3,5,1,615.0,False
4,2,8,8,8,7,8,2,1,9,5,9,7,7,7,2,2,6,5,10,2,727.6,False
4,1,2,10,7,8,10,4,2,6,8,5,10,7,7,1,2,10,3,10,2,720.0,False
5,3,4,10,10,10,10,5,2,6,6,10,10,7,7,2,2,4,4,10,2,727.8,False
5,0,10,10,10,10,6,5,2,10,6,8,2,8,0,1,2,10,3,10,3,754.8,False
1,4,2,4,3,4,3,1,2,6,4,3,5,6,0,0,2,4,1,5,2,624.2,True
4,2,4,4,3,6,7,3,1,8,1,7,5,8,0,6,2,4,1,4,2,676.4,False
3,4,0,1,0,0,0,3,1,3,0,2,1,7,3,2,1,2,0,1,1,573.2,True
2,5,0,1,10,0,0,1,2,0,5,1,2,5,10,0,2,10,0,1,3,581.1,False
5,3,5,2,3,5,2,1,1,6,1,3,4,7,10,7,2,2,2,5,2,624.4,False
3,1,6,5,4,7,4,1,1,5,3,6,3,8,10,2,2,4,5,7,1,667.7,False
4,2,1,3,6,3,8,2,2,4,4,6,4,8,0,1,2,4,5,8,1,667.7,True
5,2,10,10,10,5,10,5,1,6,4,6,2,8,0,1,2,10,6,10,1,754.4,False
4,3,5,9,4,10,7,3,1,6,4,6,1,6,0,2,2,10,3,7,2,706.4,False
5,5,8,4,3,9,3,1,1,1,2,8,1,5,6,0,2,4,1,3,3,645.4,True
1,3,1,3,1,5,1,1,2,3,3,1,3,5,4,3,2,4,8,2,2,598.1,False
2,2,4,8,1,3,0,3,1,3,1,7,2,7,10,5,2,5,0,4,1,625.2,True
5,1,10,10,10,10,10,5,1,7,5,3,1,7,10,1,2,10,2,5,1,728.1,True
4,3,2,2,10,8,1,5,1,4,0,2,1,7,0,1,2,7,0,7,3,668.4,False
2,3,9,3,2,8,3,1,1,8,3,6,5,8,0,10,2,10,1,8,2,672.8,False
5,4,6,10,10,10,2,2,2,7,5,8,10,6,0,3,2,10,6,3,3,710.2,False
1,2,3,2,0,6,1,5,1,3,2,3,0,7,10,0,2,0,4,10,0,629.5,True
2,3,0,10,7,10,1,4,1,5,10,8,5,6,0,3,2,5,2,4,2,693.2,False
4,4,7,5,10,10,4,4,2,3,1,6,3,7,10,10,2,3,2,5,1,638.6,True
4,3,6,10,7,10,7,3,2,6,6,7,10,8,0,2,2,10,4,10,2,729.1,True
2,3,4,3,1,3,2,1,1,2,8,4,1,6,5,4,1,8,1,2,3,607.4,True
4,4,2,5,8,10,1,4,1,8,2,9,2,7,0,1,2,7,1,2,1,685.1,True
2,5,3,5,2,10,4,1,1,5,6,5,0,8,5,1,2,3,3,10,1,655.6,False
2,1,4,2,10,2,2,2,2,9,2,5,1,8,0,2,2,5,5,10,2,664.1,False
2,2,3,8,6,3,5,5,1,4,1,3,1,8,0,1,2,7,1,5,1,672.2,False
1,2,5,6,8,7,3,3,2,7,2,2,3,7,0,1,2,5,5,7,3,665.0,True
2,2,6,10,10,7,10,2,2,4,4,4,1,6,4,1,2,10,5,7,2,687.3,False
5,1,2,3,0,5,1,2,1,9,5,4,5,8,10,5,2,4,3,3,3,646.9,False
4,4,10,6,10,2,8,1,1,8,1,8,3,8,5,5,2,7,1,5,3,681.7,True
4,1,10,8,10,8,8,3,1,10,2,10,2,7,0,1,2,6,5,7,3,741.4,True
3,1,5,4,10,10,10,4,2,9,6,10,5,8,8,0,2,10,7,5,1,722.9,False
3,4,0,6,0,4,7,0,1,2,2,8,2,9,6,10,2,2,0,9,0,620.7,False
3,4,0,4,0,3,0,0,1,3,0,8,2,8,7,10,2,1,0,5,0,589.9,False
5,1,6,5,3,10,5,0,1,10,3,5,10,7,0,2,2,10,2,10,1,720.0,True
3,3,5,1,3,1,1,1,2,1,0,5,0,8,10,7,2,3,1,3,1,575.7,False
5,1,8,10,6,10,2,0,1,3,6,5,0,6,5,0,2,5,0,7,3,684.1,False
5,2,10,10,10,10,10,5,1,7,10,5,5,7,8,1,2,10,10,10,2,769.3,False
2,3,3,3,3,6,4,1,1,1,2,3,0,6,5,2,2,6,1,3,2,620.8,False
1,5,0,4,2,10,2,3,2,3,5,1,0,4,5,2,1,10,8,3,1,601.3,False
5,2,9,10,10,10,10,5,2,10,10,8,10,5,5,1,2,10,10,10,3,771.2,False
4,2,5,4,10,5,1,5,2,7,1,8,0,7,0,4,2,4,1,10,3,671.3,False
4,5,5,8,2,7,4,0,1,5,1,2,1,7,5,0,2,3,3,10,1,649.7,True
1,4,1,5,6,3,1,3,2,3,1,5,2,5,10,4,2,10,1,3,1,600.6,True
4,2,4,3,10,10,4,0,1,10,0,8,10,7,0,7,2,5,2,10,2,700.2,False
4,2,1,4,0,4,1,0,1,10,0,10,0,6,0,1,2,2,0,7,2,646.0,False
0,1,2,5,3,7,2,2,2,5,7,3,0,7,0,5,2,3,6,6,2,636.3,False
2,3,3,8,6,10,3,5,1,7,1,2,2,6,0,2,2,6,0,10,1,681.8,False
3,1,5,9,9,10,8,4,2,5,9,5,3,5,10,1,2,7,9,5,2,699.2,True
4,4,10,5,5,7,2,5,2,6,1,2,5,6,0,2,1,4,3,3,3,642.7,False
3,3,1,4,2,10,6,5,1,3,2,7,8,5,3,0,1,6,2,7,1,665.6,False
5,0,10,6,5,6,2,1,2,5,1,5,2,6,0,1,2,5,10,7,3,684.1,True
2,3,10,10,4,6,3,1,2,1,2,6,3,6,7,5,2,7,2,8,2,641.8,True
1,4,0,1,10,10,2,5,2,5,4,1,1,8,5,1,2,2,5,1,3,627.6,False
3,5,5,2,10,10,5,5,1,7,3,5,0,5,0,4,1,10,1,10,2,673.7,True
1,4,10,4,10,6,10,1,2,8,1,3,8,7,0,1,2,10,3,5,3,682.2,True
1,3,2,3,1,5,0,4,2,5,0,1,1,6,7,4,2,2,0,1,2,579.6,False
5,2,3,5,5,2,2,5,2,0,3,3,0,7,0,0,2,5,4,10,3,656.7,False
5,2,2,2,1,2,4,0,1,8,4,5,2,8,0,2,1,8,4,10,0,655.6,False
